UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M00001,L,301.6,311.7,1554.7,56.1,169.2,0,0,0,0,0,0
2,M00002,L,299.6,309.5,1621.1,44.0,150.5,0,0,0,0,0,0
3,M00003,H,298.1,308.4,1428.9,59.9,189.7,0,0,0,0,0,0
4,M00004,M,299.4,309.6,1674.7,37.6,23.2,0,0,0,0,0,0
5,M00005,M,297.1,306.5,1468.5,27.7,243.3,0,0,0,0,0,0
6,M00006,H,299.2,309.9,1642.5,33.8,48.1,0,0,0,0,0,0
7,M00007,L,300.8,309.8,1746.6,24.2,95.0,0,0,0,0,0,0
8,M00008,M,301.0,311.4,1350.4,26.4,170.9,0,0,0,0,0,0
9,M00009,L,298.5,308.4,1345.8,41.9,231.3,0,0,0,0,0,0
10,M00010,L,298.5,307.6,1523.5,32.9,8.0,0,0,0,0,0,0
11,M00011,M,304.0,314.4,1209.7,33.5,53.2,0,0,0,0,0,0
12,M00012,M,300.7,310.9,1492.2,27.6,186.8,0,0,0,0,0,0
13,M00013,H,298.9,309.1,1738.7,39.8,22.7,1,1,0,0,0,0
14,M00014,L,300.5,310.0,1680.7,43.8,249.0,0,0,0,0,0,0
15,M00015,H,300.2,310.1,1444.6,25.1,134.2,0,0,0,0,0,0
16,M00016,M,301.6,311.9,1168,47.1,219.0,0,0,0,0,0,0
17,M00017,H,300.2,309.6,1719.9,48.7,210.4,0,0,0,0,0,0
18,M00018,L,301.9,312.6,1168,35.7,132.6,1,1,0,0,0,0
19,M00019,L,301.4,311.7,1861.1,38.3,59.9,0,0,0,0,0,0
20,M00020,H,300.8,310.7,1424.5,40.3,190.2,0,0,0,0,0,0
21,M00021,L,297.4,306.4,1624.5,50.5,151.6,0,0,0,0,0,0
22,M00022,H,300.1,309.3,1453.4,30.2,167.9,0,0,0,0,0,0
23,M00023,H,298.6,308.7,1537.9,40.8,138.5,0,0,0,0,0,0
24,M00024,L,302.5,312.8,1557.3,61.5,214.9,0,0,0,0,0,0
25,M00025,L,299.6,310.2,1189.1,36.1,220.6,0,0,0,0,0,0
26,M00026,L,300.8,309.9,1533.0,44.2,107.8,0,0,0,0,0,0
27,M00027,M,300.4,310.3,1335.6,28.2,15.2,0,0,0,0,0,0
28,M00028,L,300.0,310.3,1301.4,43.3,69.6,0,0,0,0,0,0
29,M00029,L,296.3,306.6,1438.8,39.0,249.8,0,0,0,0,0,0
30,M00030,L,303.5,313.1,1615.8,50.0,53.4,0,0,0,0,0,0
31,M00031,L,300.1,310.1,1168,54.5,196.3,0,0,0,0,0,0
32,M00032,H,298.8,308.3,1551.7,46.5,14.6,0,0,0,0,0,0
33,M00033,L,300.0,309.8,1295.9,34.0,213.2,0,0,0,0,0,0
34,M00034,H,301.1,311.3,1252.0,31.6,58.8,0,0,0,0,0,0
35,M00035,H,300.1,310.8,1347.5,32.9,145.9,0,0,0,0,0,0
36,M00036,M,300.9,311.7,1514.3,50.0,167.9,0,0,0,0,0,0
37,M00037,M,304.2,313.7,1778.2,40.8,140.7,0,0,0,0,0,0
38,M00038,H,300.4,310.8,1876.8,31.6,219.8,0,0,0,0,0,0
39,M00039,L,297.7,307.9,1313.8,67.2,201.8,0,0,0,0,0,0
40,M00040,H,299.1,309.8,1599.6,38.0,28.9,0,0,0,0,0,0
41,M00041,H,300.9,311.2,1544.9,48.9,171.9,0,0,0,0,0,0
42,M00042,H,295.7,305.8,1550.0,36.4,105.9,0,0,0,0,0,0
43,M00043,L,299.5,309.7,1617.8,39.2,110.5,0,0,0,0,0,0
44,M00044,H,300.8,310.8,1821.3,25.5,136.4,0,0,0,0,0,0
45,M00045,H,298.0,307.8,1683.9,42.5,233.3,0,0,0,0,0,0
46,M00046,L,301.1,310.9,1500.3,44.7,195.0,0,0,0,0,0,0
47,M00047,M,303.3,313.2,1631.3,36.7,40.6,0,0,0,0,0,0
48,M00048,L,300.3,310.2,1484.8,31.0,232.7,0,0,0,0,0,0
49,M00049,L,299.6,310.5,1815.6,52.7,214.6,0,0,0,0,0,0
50,M00050,M,297.8,308.6,1598.1,34.9,165.0,0,0,0,0,0,0
51,M00051,M,303.4,312.4,1447.9,54.1,99.9,0,0,0,0,0,0
52,M00052,H,299.8,309.9,1611.4,34.6,145.1,0,0,0,0,0,0
53,M00053,L,301.7,312.0,1476.7,31.4,151.6,0,0,0,0,0,0
54,M00054,M,301.0,310.8,1705.8,42.9,130.0,0,0,0,0,0,0
55,M00055,L,299.5,309.6,1408.1,32.3,78.5,0,0,0,0,0,0
56,M00056,M,297.0,307.0,1357.6,53.7,138.6,0,0,0,0,0,0
57,M00057,M,298.1,307.1,1373.4,34.4,137.0,1,1,0,0,0,0
58,M00058,M,300.6,309.9,1405.3,49.7,168.9,0,0,0,0,0,0
59,M00059,L,299.1,308.8,1356.8,28.1,23.3,0,0,0,0,0,0
60,M00060,L,299.3,309.0,1514.0,42.1,61.2,0,0,0,0,0,0
61,M00061,L,296.0,306.3,1216.9,32.7,96.0,0,0,0,0,0,0
62,M00062,L,299.9,309.9,1502.1,22.9,26.6,0,0,0,0,0,0
63,M00063,L,301.0,310.3,1250.9,42.8,229.4,0,0,0,0,0,0
64,M00064,L,300.9,310.2,1768.3,39.0,237.5,0,0,0,0,0,0
65,M00065,H,301.7,310.7,1168,49.7,111.5,0,0,0,0,0,0
66,M00066,M,296.8,307.1,1586.3,33.2,194.4,0,0,0,0,0,0
67,M00067,L,299.9,310.1,1464.5,47.8,79.9,0,0,0,0,0,0
68,M00068,L,301.1,311.5,1579.6,45.7,103.7,0,0,0,0,0,0
69,M00069,M,298.8,309.0,1168,50.4,146.0,0,0,0,0,0,0
70,M00070,H,299.8,309.8,1300.3,53.4,213.4,0,0,0,0,0,0
71,M00071,M,296.8,306.6,1631.7,19.7,122.1,0,0,0,0,0,0
72,M00072,M,301.8,311.9,1412.3,30.8,41.3,0,0,0,0,0,0
73,M00073,L,302.5,312.4,1723.3,32.6,165.7,0,0,0,0,0,0
74,M00074,M,301.5,311.9,1685.6,43.0,52.9,0,0,0,0,0,0
75,M00075,M,299.1,310.1,1168,49.0,117.6,0,0,0,0,0,0
76,M00076,L,301.9,311.9,1295.3,25.9,162.9,0,0,0,0,0,0
77,M00077,L,300.1,310.2,1559.8,44.2,167.4,0,0,0,0,0,0
78,M00078,L,298.5,308.6,1314.6,50.0,240.9,0,0,0,0,0,0
79,M00079,L,300.9,310.8,1670.7,41.4,169.3,0,0,0,0,0,0
80,M00080,M,301.2,311.1,1184.5,29.7,60.7,0,0,0,0,0,0
81,M00081,M,301.6,311.1,1916.2,59.8,195.7,0,0,0,0,0,0
82,M00082,M,299.6,309.4,1480.8,38.7,105.0,0,0,0,0,0,0
83,M00083,M,302.8,312.6,1648.8,26.2,108.9,0,0,0,0,0,0
84,M00084,M,296.6,305.9,1534.5,29.0,206.4,0,0,0,0,0,0
85,M00085,M,302.2,311.4,1853.4,50.7,61.0,0,0,0,0,0,0
86,M00086,H,299.1,308.7,1322.8,40.3,121.9,0,0,0,0,0,0
87,M00087,M,297.8,308.7,1451.4,32.3,2.5,0,0,0,0,0,0
88,M00088,L,300.1,310.6,1360.5,37.5,119.0,0,0,0,0,0,0
89,M00089,M,300.2,310.0,1554.5,55.1,76.6,0,0,0,0,0,0
90,M00090,M,298.3,308.1,1752.8,39.7,88.0,0,0,0,0,0,0
91,M00091,M,300.0,310.3,1535.6,44.7,134.0,0,0,0,0,0,0
92,M00092,L,301.2,312.0,1455.8,53.2,190.1,0,0,0,0,0,0
93,M00093,L,300.8,310.4,1391.1,46.5,177.0,0,0,0,0,0,0
94,M00094,L,302.5,312.4,1466.3,35.1,217.1,0,0,0,0,0,0
95,M00095,L,298.0,307.7,1381.1,42.3,12.8,0,0,0,0,0,0
96,M00096,M,300.6,310.7,1238.0,40.7,171.6,0,0,0,0,0,0
97,M00097,H,300.8,310.7,1502.9,52.8,104.0,0,0,0,0,0,0
98,M00098,H,300.4,311.0,1294.1,43.3,215.0,0,0,0,0,0,0
99,M00099,M,299.4,309.3,1588.6,38.9,190.7,0,0,0,0,0,0
100,M00100,M,299.4,309.2,1536.4,43.5,0.7,0,0,0,0,0,0
101,M00101,H,299.5,309.5,1461.3,47.9,214.9,0,0,0,0,0,0
102,M00102,L,303.1,312.7,1292.0,29.6,233.4,0,0,0,0,0,0
103,M00103,H,300.2,310.5,1489.1,45.5,14.9,0,0,0,0,0,0
104,M00104,H,300.0,309.4,1475.2,45.0,172.2,0,0,0,0,0,0
105,M00105,M,297.7,307.7,1549.9,41.4,108.0,0,0,0,0,0,0
106,M00106,M,301.4,311.5,1318.2,22.4,146.8,1,0,0,1,0,0
107,M00107,H,303.3,313.5,1214.6,42.7,229.0,0,0,0,0,0,0
108,M00108,H,296.6,307.0,1721.1,37.8,102.1,0,0,0,0,0,0
109,M00109,L,301.1,310.8,1442.8,32.3,236.3,0,0,0,0,0,0
110,M00110,H,300.8,310.8,1498.5,45.0,193.1,0,0,0,0,0,0
111,M00111,L,298.6,308.1,1389.8,43.3,90.4,0,0,0,0,0,0
112,M00112,M,300.1,309.8,1168,33.0,109.5,0,0,0,0,0,0
113,M00113,L,302.8,312.9,1595.9,25.0,77.7,1,0,1,0,0,0
114,M00114,L,299.0,309.1,1615.9,29.8,179.2,0,0,0,0,0,0
115,M00115,M,298.0,308.3,1282.4,41.9,36.2,0,0,0,0,0,0
116,M00116,H,295.9,305.8,1605.6,33.9,197.5,0,0,0,0,0,0
117,M00117,H,300.0,310.0,1442.8,21.2,145.0,0,0,0,0,0,0
118,M00118,L,297.8,308.0,1332.0,54.7,94.3,0,0,0,0,0,0
119,M00119,L,301.5,311.5,1208.0,53.2,102.7,0,0,0,0,0,0
120,M00120,M,299.0,308.1,1277.2,49.7,205.2,0,0,0,0,0,0
121,M00121,M,301.0,310.9,1675.4,38.1,25.1,0,0,0,0,0,0
122,M00122,L,297.8,307.7,1464.6,29.9,163.7,0,0,0,0,0,0
123,M00123,M,300.3,309.9,1356.1,33.0,20.1,0,0,0,0,0,0
124,M00124,H,298.7,309.0,1434.1,23.4,218.1,1,1,0,0,0,0
125,M00125,M,303.3,313.3,1416.7,41.8,158.4,0,0,0,0,0,0
126,M00126,M,300.8,311.2,1674.2,41.6,14.0,0,0,0,0,0,0
127,M00127,M,301.5,312.0,1175.3,32.9,42.5,0,0,0,0,0,0
128,M00128,M,298.9,308.6,1594.9,37.1,115.3,0,0,0,0,0,0
129,M00129,M,297.9,307.0,1339.2,41.8,136.6,0,0,0,0,0,0
